id,codigo,bien_id,cantidad_fabricado,otros_costos,estado,fecha_creacion,usuario_creacion
477,CP0008.R1,458,1,0.000000,1,"2018-06-28 09:33:30",13
488,G0006.R1,469,1,0.000000,1,"2018-07-17 11:51:40",13
489,CS0082.R1,470,1,0.000000,1,"2018-07-18 12:12:42",13
490,CS0083.R1,471,1,0.000000,1,"2018-08-03 10:58:03",13
491,BB0001.R1,472,1,0.000000,1,"2018-08-17 07:56:06",13
492,P0135.R1,196,1,0.000000,1,"2018-08-22 11:45:54",13
495,BR0001.R2,334,16,0.000000,1,"2018-09-12 13:09:14",13
501,BB0002.R1,481,16,0.000000,1,"2018-09-12 13:21:17",13
502,R0017.R1,482,1,0.000000,1,"2018-09-12 13:26:48",13
503,R0003.R2,356,900,0.000000,1,"2018-09-12 13:29:35",13
504,BP003.R4,400,1,0.000000,1,"2018-09-13 10:20:57",13
506,TP0003.R2,301,1,0.000000,1,"2018-09-13 10:23:25",13
507,TP0001.R2,240,1,0.000000,1,"2018-09-13 10:28:51",13
508,TE0012.R2,467,1,0.000000,1,"2018-09-13 10:34:42",13
509,TE0011.R2,466,1,0.000000,1,"2018-09-13 10:36:12",13
510,TE0010.R2,462,1,0.000000,1,"2018-09-13 10:36:46",13
511,TE0009.R2,449,1,0.000000,1,"2018-09-13 10:37:07",13
512,TE0008.R2,424,1,0.000000,1,"2018-09-13 10:37:45",13
513,TE0007.R3,413,1,0.000000,1,"2018-09-13 10:38:47",13
514,TE0006.R3,390,1,0.000000,1,"2018-09-13 10:40:04",13
515,TE0004.R4,228,1,0.000000,1,"2018-09-13 10:47:02",13
516,TE0003.R4,227,1,0.000000,1,"2018-09-13 10:49:31",13
517,TE0002.R4,226,1,0.000000,1,"2018-09-13 10:49:50",13
518,TE0001.R4,225,1,0.000000,1,"2018-09-13 10:50:07",13
519,TC0014.R2,465,1,0.000000,1,"2018-09-13 10:50:41",13
520,TC0013.R2,464,1,0.000000,1,"2018-09-13 10:50:58",13
521,TC0012.R2,463,1,0.000000,1,"2018-09-13 10:51:15",13
522,TC0011.R2,450,1,0.000000,1,"2018-09-13 10:51:32",13
523,TC0010.R3,239,1,0.000000,1,"2018-09-13 10:51:56",13
524,TC0009.R3,238,1,0.000000,1,"2018-09-13 10:52:13",13
525,TC0008.R3,237,1,0.000000,1,"2018-09-13 10:54:06",13
526,TC0007.R3,236,1,0.000000,1,"2018-09-13 10:54:24",13
527,TC0006.R3,235,1,0.000000,1,"2018-09-13 10:55:24",13
528,TC0005.R3,234,1,0.000000,1,"2018-09-13 10:55:44",13
529,TC0004.R3,233,1,0.000000,1,"2018-09-13 10:56:10",13
530,TC0002.R2,231,1,0.000000,1,"2018-09-13 10:56:47",13
531,TC0001.R3,230,1,0.000000,1,"2018-09-13 10:57:21",13
532,R0014.R2,371,600,0.000000,1,"2018-09-13 11:02:11",13
533,R0012.R2,369,600,0.000000,1,"2018-09-13 11:03:31",13
534,Q0006.R2,330,90,0.000000,1,"2018-09-13 11:13:07",13
535,Q0005.R2,319,144,0.000000,1,"2018-09-13 11:15:10",13
536,Q0004.R3,341,90,0.000000,1,"2018-09-13 11:16:26",13
537,Q0002.R3,310,150,0.000000,1,"2018-09-13 11:28:55",13
538,BP004.R2,412,1,0.000000,1,"2018-09-13 11:32:12",13
539,BP005.R2,414,1,0.000000,1,"2018-09-13 11:33:06",13
540,CF0002.R3,263,1,0.000000,1,"2018-09-13 11:35:28",13
541,R0018.R1,483,8000,0.000000,1,"2018-09-13 11:46:46",13
542,CF0007.R2,440,1,0.000000,1,"2018-09-13 11:48:15",13
543,G0007.R2,473,8,0.000000,1,"2018-09-13 12:16:37",13
544,G0003.R2,436,7,0.000000,1,"2018-09-13 12:21:42",13
545,G0002.R2,435,1,0.000000,1,"2018-09-13 12:42:08",13
547,S0001.R1,485,1,0.000000,1,"2018-09-29 08:39:31",13
548,SM0001.R1,487,1,0.000000,1,"2018-09-29 08:45:10",13
549,CS0084.R1,488,1,0.000000,1,"2018-10-10 12:59:44",13
550,FG0018.R2,439,1,0.000000,1,"2018-10-12 12:11:03",13
