"id";"empresa_id";"usuario_apertura_id";"fecha_apertura";"importe_apertura";"apertura_sugerido";"comentario_apertura";"is_pintar_apertura";"usuario_cierre_id";"fecha_cierre";"importe_cierre";"cierre_sugerido";"visa";"is_pintar_visa";"traslado";"deposito";"is_pintar_deposito";"comentario_cierre";"is_pintar_cierre";"estado";"usuario_creacion";"fecha_creacion"
391;3;10;"2018-04-23 10:12:10";260.0;260.0;"";0;10;"2018-04-23 14:00:06";260.0;260.0;0.0;0;182.0;0.0;0;"";0;1;10;"2018-04-23 10:12:10"
392;5;18;"2018-04-23 12:43:08";152.0;152.0;"";0;18;"2018-04-23 14:11:45";152.0;152.0;55.0;0;47.0;0.0;0;"";0;1;18;"2018-04-23 12:43:08"
393;3;8;"2018-04-23 14:04:13";260.0;260.0;"";0;8;"2018-04-23 18:00:35";260.0;260.0;55.0;0;80.5;0.0;0;"";0;1;8;"2018-04-23 14:04:13"
394;5;11;"2018-04-23 16:46:31";152.0;152.0;"";0;11;"2018-04-23 20:30:38";152.0;152.0;42.0;0;116.0;0.0;0;"";0;1;11;"2018-04-23 16:46:31"
395;3;10;"2018-04-24 10:54:16";260.0;260.0;"";0;10;"2018-04-24 14:09:36";260.0;260.0;33.0;0;75.5;0.0;0;"";0;1;10;"2018-04-24 10:54:16"
396;5;11;"2018-04-24 11:21:40";152.0;152.0;"";0;11;"2018-04-24 20:40:45";152.0;152.0;0.0;0;129.0;0.0;0;"";0;1;11;"2018-04-24 11:21:40"
397;3;20;"2018-04-24 14:34:39";260.0;260.0;"";0;20;"2018-04-24 19:49:20";260.0;260.0;10.0;0;84.5;35.0;0;"";0;1;20;"2018-04-24 14:34:39"
398;3;8;"2018-04-24 20:14:33";260.0;260.0;"";0;8;"2018-04-24 22:02:56";260.0;260.0;19.0;0;255.0;0.0;0;"";0;1;8;"2018-04-24 20:14:33"
399;3;10;"2018-04-25 10:20:36";260.0;260.0;"";0;10;"2018-04-25 14:03:50";260.0;260.0;10.0;0;33.0;0.0;0;"";0;1;10;"2018-04-25 10:20:36"
400;5;18;"2018-04-25 11:32:46";152.0;152.0;"";0;18;"2018-04-25 14:09:38";152.0;152.0;0.0;0;8.5;25.0;0;"";0;1;18;"2018-04-25 11:32:46"
401;3;8;"2018-04-25 14:12:10";260.0;260.0;"";0;8;"2018-04-25 17:59:51";260.0;260.0;10.5;0;218.0;0.0;0;"";0;1;8;"2018-04-25 14:12:10"
402;5;18;"2018-04-25 16:46:06";152.0;152.0;"";0;18;"2018-04-25 20:36:57";152.0;152.0;0.0;0;95.5;10.0;0;"";0;1;18;"2018-04-25 16:46:06"
403;3;20;"2018-04-25 18:05:47";260.0;260.0;"";0;20;"2018-04-25 21:52:48";260.0;260.0;30.0;0;129.0;0.0;0;"";0;1;20;"2018-04-25 18:05:47"
404;3;10;"2018-04-26 11:15:53";260.0;260.0;"";0;10;"2018-04-26 14:00:23";260.0;260.0;0.0;0;65.0;0.0;0;"";0;1;10;"2018-04-26 11:15:53"
405;5;18;"2018-04-26 11:50:45";152.0;152.0;"";0;18;"2018-04-26 14:03:57";152.0;152.0;0.0;0;80.0;0.0;0;"";0;1;18;"2018-04-26 11:50:45"
406;3;20;"2018-04-26 14:05:08";260.0;260.0;"";0;20;"2018-04-26 20:25:45";560.0;560.0;31.0;0;0.0;0.0;0;"";0;1;20;"2018-04-26 14:05:08"
407;5;18;"2018-04-26 16:39:22";152.0;152.0;"";0;18;"2018-04-26 20:41:30";152.0;152.0;0.0;0;118.0;0.0;0;"";0;1;18;"2018-04-26 16:39:22"
408;3;8;"2018-04-26 20:49:52";260.0;560.0;"";1;8;"2018-04-26 21:45:43";260.0;260.0;15.0;0;342.0;22.0;0;"";0;1;8;"2018-04-26 20:49:52"
409;3;10;"2018-04-27 10:19:46";260.0;260.0;"";0;10;"2018-04-27 14:02:56";260.0;260.0;0.0;0;110.0;40.0;0;"";0;1;10;"2018-04-27 10:19:46"
410;5;11;"2018-04-27 10:22:08";152.0;152.0;"";0;11;"2018-04-27 13:57:33";152.0;152.0;0.0;0;79.5;0.0;0;"";0;1;11;"2018-04-27 10:22:08"
